id,priority,phase,question,topology,foreground,background,variant,load_sweep,profiler,trials,duration_or_samples,dependency,primary_metric,pass_condition,artifact
F00,P0,P0,environment,"GPU0 4g+3g; GPU1-3 full",idle,none,manifest,none,none,1,snapshot,none,"hashes; clocks; topology","all hardware software model data identifiers resolved",00_manifest/
F01,P0,P0,capability,4g MIG,CUDA microtest,none,device graph launch,none,Nsys,3,10000 launches,F00,"supported; launch p99","capability and restrictions empirically recorded",01_cap/device_graph/
F02,P0,P0,capability,4g MIG,CUDA microtest,none,conditional graph,none,Nsys,3,10000 branches,F00,"correct branch; p99","zero wrong branch; support status recorded",01_cap/conditional/
F03,P0,P0,capability,4g+3g,control ring,none,GPU-visible doorbell,none,Nsys,5,100000 events,F00,"publish-to-observe p99.9","ordering correct and tail measured",01_cap/doorbell/
F04,P0,P0,transport gate,4g+3g,same-GPU MIG,none,P2P,64KiB-current payload,none,5,10000 writes,F00,"correctness; latency","all capability paths resolved",01_cap/p2p/
F05,P0,P0,transport gate,4g+NIC+GPU1,GPU memory,none,GDR,64KiB-current payload,none,5,10000 writes,F00,"correctness; latency","all payload checks pass",01_cap/gdr/
N00,P0,P1,NRx stack,4g NRx,same tensor,none,public wrapper,one shape,Nsys graph,5,10000 slots,F00,"p50/p99; copies; sync","output reference captured",02_nrx/wrapper/
N01,P0,P1,NRx stack,4g NRx,same tensor,none,raw TensorRT,one shape,Nsys graph,5,10000 slots,N00,"enqueue and GPU p99","allclose to reference",02_nrx/raw/
N02,P0,P1,NRx stack,4g NRx,same tensor,none,caller-owned input,one shape,Nsys graph,5,10000 slots,N01,"copy bytes; p99","allclose and stable pointer",02_nrx/input_binding/
N03,P0,P1,NRx stack,4g NRx,same tensor,none,caller-owned input+output,one shape,Nsys graph,5,10000 slots,N02,"copy bytes; p99","allclose and no hidden payload copy",02_nrx/io_binding/
N04,P0,P1,NRx stack,4g NRx,same tensor,none,persistent buffers+CUDA Graph,one shape,Nsys graph,5,10000 slots,N03,"launch gap; GPU p99","allclose and graph stable",02_nrx/graph/
N05,P0,P1,kernel cause,4g NRx,same tensor,none,direct graph,one shape,NCU,3,top 5 kernels,N04,"SOL; memory; occupancy; stalls","dominant kernels classified",02_nrx/ncu/
N06,P0,P1,service profile,4g NRx,mixed tensor classes,none,direct graph,"MCS; PRB; layers",none,5,10000 per class,N04,"class p99/p99.9","profile table covers replay classes",02_nrx/profile/
N07,P0,P1,replica scale,4g NRx,NRx contexts,none,replica 1|2|4|8,"batch 1|2|4",Nsys short,5,60s each,N04,"slots/s; p99; memory","serialization source resolved",02_nrx/replicas_4g/
N08,P1,P1,replica scale,full GPU,NRx contexts,none,replica 1|2|4|8,"batch 1|2|4",Nsys short,5,60s each,N04,"slots/s; p99; memory","endpoint capacity curve produced",02_nrx/replicas_full/
X00,P0,P3,five-way compute,full A100,L1+NRx,none,MPS,"NRx load 50|85|95|105%",none,5,3min each,N04,"absolute and normalized L1 p99.9; miss","full-GPU compute baseline",05_fiveway/compute_mps/
