id,priority,phase,scope,topology,workload,policy_or_variant,profiler,trials,measured_jobs_or_duration,estimated_wall_min,dependency,primary_metric,go_condition,artifact
M0,P0,today,manifest,"GPU0 4g+3g; GPU1-3 full",idle,environment snapshot,none,1,one snapshot,20,none,topology/source/clock hash,"UUID profile GID image and source all resolved",manifest.json
I0,P0,today,instrumentation,4g NRx,direct NRx,20-slot NVTX and event smoke,Nsys graph,1,20 slots,25,M0,event cardinality and nesting,"one complete range/event chain per slot; correctness exact",instrumentation_smoke/
I1,P0,today,correctness,4g NRx,"same tensor",wrapper vs direct vs graph,none,3,5000 iterations each,35,I0,"allclose; p50 p95 p99","all outputs allclose; no stale buffer",nrx_stack_timing.csv
K0,P0,today,kernel taxonomy,4g NRx,"same tensor",wrapper,Nsys graph,1,50 iterations,20,I0,"API copy sync and kernel GPU-time share","wrapper critical path fully attributed",nsys/wrapper_graph
K1,P0,today,kernel taxonomy,4g NRx,"same tensor",direct graph,Nsys graph,1,200 iterations,20,I0,"launch overhead and top kernels","direct critical path fully attributed",nsys/direct_graph
K2,P0,today,graph internals,4g NRx,"same tensor",direct graph,Nsys node,1,10 iterations,20,K1,"graph node order and gaps","10 complete graphs; overhead declared",nsys/direct_node
K3,P0,today,kernel counters,4g NRx,"top 5 kernels",isolated direct,NCU selected sections,1,1-3 matched launches,60,K1,"SOL occupancy memory scheduler","at least decisive top kernels classified",ncu/nrx/
A0,P0,today,AI taxonomy,3g Qwen,Qwen decode,"KV 128 512 2048",Nsys graph,1,100 decode steps per bucket,25,I0,"kernel duration CDF; API sync","top GPU-time kernels and max quantum identified",nsys/qwen_decode/
A1,P0,today,AI taxonomy,3g Qwen,Qwen prefill,"prompt 128 512 2048",Nsys graph,1,20 prefills per size,25,I0,"kernel duration CDF; API sync","long blocking kernels and duration identified",nsys/qwen_prefill/
A2,P1,today,AI kernel counters,3g or full Qwen,"top decode and prefill kernels",isolated Qwen,NCU selected sections,1,1 matched launch each,45,A0|A1,"SOL occupancy memory scheduler","blocking kernel bottleneck classified",ncu/qwen/
B0,P0,today,non-preemption,3g MPS,"NRx injection during Qwen decode",default priority,Nsys short+timing,3,100 injections,30,A0,"arrival-to-first-NRx-kernel p99","blocking correlated with residual AI kernel",blocking/decode_default/
