id,required_scope,execution_state,evidence,what_remains
DAY00,"hardware, software, topology, NIC manifest",VALIDATED_QUICK,"day1_20260813T0523Z/00_preflight","repeat snapshot at full campaign start and end"
DAY01,"CUDA Graph capability, 3x10000",PARTIAL_QUICK,"02b_direct_wrapper_correctness and direct_graph quick runs","run three independent 10000-iteration trials"
DAY02,"descriptor and doorbell control path, 5x100000",NOT_RUN,"none","implement real descriptor ring and GPU/host doorbell microbenchmark"
DAY03,"epoch commit with 1000 delayed, duplicate, and stale faults",VALIDATED_QUICK,"01_scheme_correctness includes a 10000-fault software campaign","repeat against the real endpoint/control path after DAY02"
DAY04,"wrapper, raw, caller binding, and graph, 3x5000",PARTIAL_QUICK,"02_nrx_profile and 02b_direct_wrapper_correctness","run regular trials at planned iteration count and add NCU"
DAY05,"4g, 3g, full GPU; replicas 1,2,4,8; 3x60s",PARTIAL_QUICK,"09_replica_sweep used only 2-second open-loop windows on 4g","run all device sizes, regular 60-second trials, queue stability"
SCH01,"DART-P/F profiles and guard sensitivity",PARTIAL_QUICK,"06_compile_profiles and 07_control_replay","rebuild from regular DAY04/DAY05 data and sweep guard 0,5,10,20 percent"
DAY06,"Qwen real text prompts, prefill/decode, 3x90s",NOT_RUN,"quick background used synthetic or fixed-token stress","run provenance-recorded text prompt trace and separate prefill/decode service distributions"
DAY07,"online training, microbatch 1 and 4, 3x90s",NOT_RUN,"none","use real dataset and pretrained model; measure forward/backward/optimizer separately"
DAY08,"video, 1 and 4 streams, 3x90s",BLOCKED_DATA,"no video model or dataset is staged","select model and licensed input trace before claiming results"
DAY09,"speech, 1 and 4 streams, 3x90s",BLOCKED_DATA,"Whisper quick run used synthetic features, not audio","stage licensed audio and include feature extraction plus decode"
SCH02,"DART-L lease profiles",NOT_RUN,"none","derive unit p99 for Qwen decode step and training microbatch; sweep Qmax"
DAY10,"MPS five-way compute, four normalized loads, 3x60s",PARTIAL_QUICK,"11_mps_quick used one short trial at three MPS percentages","run normalized offered-load sweep and regular repetitions"
DAY11,"MIG same-partition compute, four loads, 3x60s",PARTIAL_QUICK,"fixed placement quick trials","run identical direct NRx implementation and arrival trace as all five approaches"
DAY12,"MIG+MPS compute, four loads, 3x60s",PARTIAL_QUICK,"12_mig_mps_quick and 13_mig_mps_gdr_matrix are diagnostics","run fair same-engine, same-arrival, same-timing-boundary comparison"
DAY13,"cross-MIG P2P compute, four loads, 3x60s",PARTIAL_QUICK,"04_fixed_placement has 3x1000 requests","run regular arrival-driven trace and depth sweep"
DAY14,"cross-MIG GDR compute, four loads, 3x60s",PARTIAL_QUICK,"05_fixed_gdr has 3x1000 requests","run regular arrival-driven trace with timing boundary identical to P2P"
SCH03,"DART-R reservations, depth 1,2,4,8,16",NOT_RUN,"P2P quick used depth 2; GDR endpoint is depth 1","implement multi-buffer GDR reservation ring and simultaneous-submit burst test"
DAY15,"NRx versus Qwen prefill/decode residual injection",NOT_RUN,"none","sweep 500 phase offsets with priority on and off"
DAY16,"NRx versus training forward/backward residual injection",NOT_RUN,"none","sweep 500 phase offsets with priority on and off"
DAY17,"NRx versus video residual injection",BLOCKED_DATA,"none","depends on DAY08"
DAY18,"NRx versus speech residual injection",BLOCKED_DATA,"none","depends on DAY09"
SCH04,"DART-L fixed gate, quantum, and grant lease",NOT_RUN,"quick adaptive_reclaim is a coarse gate, not grant-ahead leasing","implement controller and compare 3x90s"
DAY19,"MPS background contention, Qwen and training, 3x90s",NOT_RUN,"quick MPS does not use qualified workloads and trace","run fair background matrix"
DAY20,"MIG background contention, Qwen and training, 3x90s",NOT_RUN,"corrected quick background tests only isolated 4g foreground plus 3g background","run full low, burst, high matrix"
DAY21,"MIG+MPS background contention, 3x90s",NOT_RUN,"diagnostic quota matrix is not the planned workload test","run full fair matrix"
DAY22,"P2P cross-MIG background contention, 3x90s",NOT_RUN,"corrected quick reclaim is a scheme probe, not five-way comparison","run full fair matrix"
DAY23,"GDR cross-MIG background contention, 3x90s",NOT_RUN,"corrected quick reclaim does not exercise the GDR NRx service chain","integrate GDR endpoint into arrival-driven NRx service and run fair matrix"
DAY24,"static-one killer trace, 3x250s",PARTIAL_QUICK,"10b_background_suite_corrected used an approximately 8-second trace","run regular trace with qualified Qwen and training"
DAY25,"dedicated-peak killer trace, 3x250s",NOT_RUN,"none","run resident endpoint baseline"
DAY26,"shortest-queue killer trace, 3x250s",PARTIAL_QUICK,"08b_hardware_policy_corrected used a short synthetic request trace","run regular hardware service with qualified background work"
DAY27,"predicted-finish DART, 3x250s",PARTIAL_QUICK,"08b_hardware_policy_corrected used a short synthetic request trace","run regular hardware service and calibrated prediction errors"
DAY28,"predicted finish plus epoch plus JIT fallback",NOT_RUN,"software-only correctness and policy results exist separately","integrate endpoint reservation, commit validation, deadline fallback, and fault injection"
SCH05,"cumulative DART-F/R/C/J/L ablation",NOT_RUN,"none","run after the five mechanisms exist on the hardware path"
DAY29,"analysis, figures, verdict",PARTIAL_QUICK,"quick REPORT_KO.md and figures","regenerate solely from validated regular experiments and preserve quick/full provenance"
